change_id,matched_seg_id,matched_seg_text,similarity
1,min113-seg106,以上です。,0.6773340702056885
1,min113-seg116,以上です。,0.6773340702056885
1,min113-seg145,以上です。,0.6773340702056885
1,min113-seg163,以上です。,0.6773340702056885
1,min113-seg213,以上です。,0.6773340702056885
1,min115-seg49,以上です。,0.6773340702056885
1,min115-seg72,以上です。,0.6773340702056885
1,min115-seg106,以上です。,0.6773340702056885
1,min115-seg129,以上です。,0.6773340702056885
1,min115-seg239,以上です。,0.6773340702056885
2,min116-seg147,この議論の最初の段階で、「変え方を変える」という話があったと記憶しています。まさしく変え方を変えているんだけど、これまでとの連続性もきちんと意識して新たな方向性が打ち出された、そういう取りまとめだなと理解しました。,0.6633920073509216
2,min116-seg146,このように、この間に議論を通じて、新しい変化というんでしょうか、要素をきちんと取り込んで作られている一方で、先ほど来お話がありましたように新たな成長や統合という考え方は、過去の環境基本計画で打ち出されたコンセプトの承継であることもちゃんと書かれていますから、いわゆる連続性も意識されているということだと思います。,0.6244487166404724
2,min116-seg28,修正したところについては、今ご紹介したところ以外については別途、同時に循環部会のほうで進行しています循環型社会形成推進協議計画との表現の統一であるとか、数字的な修正であるとか、前回、武内委員からご指摘のあった脚注の精査というところを中心に修正しておりまして、今申し上げたとおり、２月26日にご議論いただいて、その結果を反映したものから、重要な核心的なところといいますか、全体のストーリーに関わるところの修正はなかったということになってございます。,0.5236462950706482
2,min113-seg113,次は３番目、53ページでございます。32行目から、再エネの種類を縷々書いていただいております。再エネを地方で入れる場合にものすごく感じることが、先端技術と適正技術の差でございます。これを同列に書くと実際は迷走してしまって、持続性とかコストとかを度外視して入れてしまうというようなことが散見されます。また、コンサルさんによってはミスリードをしてしまうというようなことがあります。それが結局お荷物になるというような、負のスパイラルにもなりかねないことから、再エネはコストや持続可能性をより優先して導入することが望ましいというような概念を入れていただきたいと思います。,0.5214551687240601
