change_id,matched_seg_id,matched_seg_text,similarity
1,min115-seg49,以上です。,0.8963884711265564
1,min115-seg129,以上です。,0.8963884711265564
1,min115-seg137,以上です。,0.8963884711265564
1,min115-seg155,以上です。,0.8963884711265564
1,min115-seg179,以上です。,0.8963884711265564
1,min115-seg201,以上です。,0.8963884711265564
1,min115-seg259,以上です。,0.8963884711265564
1,min115-seg286,以上です。,0.8963884711265564
1,min115-seg296,以上です。,0.8963884711265564
1,min115-seg311,以上です。,0.8963884711265564
2,min115-seg32,じゃあ、次、103ページ目でございます。重点戦略６の国際部分でございますが、18行目になります。武内委員のご指摘も踏まえたところでございますが、18、19行目ですね、今の国内政策というものは、国際社会、世界全体の機運と軌を一にしていると、独立して動いているわけではないというご指摘をいただいていましたので、そういう趣旨を今回立ててございます。,0.34503376483917236
2,min115-seg168,見え消し版の111ページの８行目、溶け込み版ですと104ページの29行目、（１）の国際的なルールづくりへの貢献のところです。実は、これ、先ほど井田委員が既にご指摘になった点と全く同じ点なんですけれども、私なりの考えを発言として申し上げたいと思います。要は、前回版では、「いわゆる「環境外交」により国際協調を発展させ」となっていたものが、今回は、「環境を軸とした国際協調を発展させ」に変わっていたということで、何であえて「いわゆる「環境外交」」という文言を削除しなければならなかったのかということが分からなかったということでございます。確かに「環境外交」という言葉の定義は定まったものはなくて、基本計画にはなじまないかもしれません。しかし、いわゆる「環境外交」とした上で、本計画に明示することには二つの意義があると思っております。,0.3363298177719116
